Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;-1;49;penta;64;60001;6122628336
graphComp;-1;50;penta;11928;60001;8518044712
graphComp;-1;51;penta;138;60001;6731983896
graphComp;-1;52;penta;94;60001;6656169480
graphComp;-1;53;penta;97;60001;4793928712
graphComp;-1;54;penta;269;60510;5925203592
graphComp;-1;55;penta;418;62014;5929186392
graphComp;-1;56;penta;110;60001;6339967184
graphComp;-1;57;penta;106;60001;6330746928
graphComp;-1;58;penta;38;60001;6578694960
graphComp;-1;59;penta;85;60001;5702920192
graphComp;-1;60;penta;266;61939;5876874736
graphComp;-1;61;penta;148;60001;5718798552
graphComp;-1;62;penta;3609;60001;5294474648
graphComp;-1;63;penta;1441;60004;4373019936
graphComp;-1;64;penta;171;60001;6209616840
graphComp;-1;65;penta;11739;60001;6190257872
graphComp;-1;66;penta;167;60003;6177391016
graphComp;-1;67;penta;2049;60009;1448190824
graphComp;-1;68;penta;93;60001;4419099496
graphComp;-1;69;penta;8620;60001;4904528528
graphComp;-1;70;penta;223;60001;5730828632
graphComp;-1;71;penta;40;60001;6396864264
graphComp;-1;72;penta;1161;60023;3941113256
graphComp;-1;73;penta;702;60033;5184502208
graphComp;-1;74;penta;1075;60001;6332101744
graphComp;-1;75;penta;1628;60003;2923526592
graphComp;-1;76;penta;23;60713;5756858472
graphComp;-1;77;penta;0;60001;6734187488
graphComp;-1;78;penta;99;60001;6210717152
graphComp;-1;79;penta;79;61625;5929639184
graphComp;-1;80;penta;65;60053;5929462952
graphComp;-1;81;penta;87;60001;6433645000
graphComp;-1;82;penta;648;60001;5742720416
graphComp;-1;83;penta;10587;60001;6883076144
graphComp;-1;84;penta;1783;60001;5240605744
graphComp;-1;85;penta;21640;60001;1131924248
graphComp;-1;86;penta;110;62922;5929642392
graphComp;-1;87;penta;4;61741;5864616096
graphComp;-1;88;penta;2113;60004;473440344
graphComp;-1;89;penta;153;60356;5927888248
graphComp;-1;90;penta;119;60449;5910127056
graphComp;-1;91;penta;82;60770;6657910608
graphComp;-1;92;penta;1253;60001;5702207048
graphComp;-1;93;penta;2157;60016;415891064
graphComp;-1;94;penta;149;60001;6224784432
graphComp;-1;95;penta;161;60001;6101595616
graphComp;-1;96;penta;2395;60001;9304247400
graphComp;-1;97;penta;145;60126;5928227528
graphComp;-1;98;penta;227;62781;5929518336
graphComp;-1;99;penta;42175;60001;427622248
graphComp;-1;0;triple;0;61266;6337722880
