Estructura;Limite;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;10000;0;cuadra;427;60001;61346392
graphComp;10000;1;cuadra;39;60001;11621808
graphComp;10000;2;cuadra;217;60001;17517488
graphComp;10000;3;cuadra;33408;60001;285722200
graphComp;10000;4;cuadra;827;60014;32238008
graphComp;10000;5;cuadra;0;60001;19379952
graphComp;10000;6;cuadra;878;60001;27457776
graphComp;10000;7;cuadra;1094;60001;34558048
graphComp;10000;8;cuadra;10971;60001;102546456
graphComp;10000;9;cuadra;52;60001;14143424
graphComp;10000;10;cuadra;21646;60001;75896048
graphComp;10000;11;cuadra;9478;60001;96404360
graphComp;10000;12;cuadra;3549;60001;22786632
graphComp;10000;13;cuadra;6362;60001;72618936
graphComp;10000;14;cuadra;4441;60001;84340176
graphComp;10000;15;cuadra;18;60550;16833880
graphComp;10000;16;cuadra;354;60001;12528320
graphComp;10000;17;cuadra;1285;60001;14813360
graphComp;10000;18;cuadra;8112;60001;45670464
graphComp;10000;19;cuadra;1405;60018;80888400
graphComp;10000;20;cuadra;832;60001;32862488
graphComp;10000;21;cuadra;673;60001;23175224
graphComp;10000;22;cuadra;1925;60001;57981176
graphComp;10000;23;cuadra;894;60001;25772080
graphComp;10000;24;cuadra;1118;60001;8766232
graphComp;10000;25;cuadra;125;60001;7475696
graphComp;10000;26;cuadra;1322;60037;5447984
graphComp;10000;27;cuadra;776;60001;24513984
graphComp;10000;28;cuadra;1186;60001;40377648
graphComp;10000;29;cuadra;15993;60001;287851008
graphComp;10000;30;cuadra;0;60542;5545936
graphComp;10000;31;cuadra;520;60001;19622408
graphComp;10000;32;cuadra;2015;60001;21283888
graphComp;10000;33;cuadra;1725;60001;34897752
graphComp;10000;34;cuadra;50;60001;4369064
graphComp;10000;35;cuadra;242;60001;5731712
graphComp;10000;36;cuadra;1673;60147;46520752
graphComp;10000;37;cuadra;2601;60001;105148192
graphComp;10000;38;cuadra;2403;60001;17455680
graphComp;10000;39;cuadra;1730;60001;43185888
graphComp;10000;40;cuadra;252;60085;8990888
graphComp;10000;41;cuadra;397;60001;24552440
graphComp;10000;42;cuadra;70;60001;13936656
graphComp;10000;43;cuadra;789;60001;17926744
graphComp;10000;44;cuadra;710;60001;30798424
graphComp;10000;45;cuadra;3884;60001;47364120
graphComp;10000;46;cuadra;4414;60001;28943584
graphComp;10000;47;cuadra;10082;60025;70292448
graphComp;10000;48;cuadra;128;60001;4810680
graphComp;10000;49;cuadra;79;60001;7558112
graphComp;10000;50;cuadra;769;60001;46155408
graphComp;10000;51;cuadra;1144;60001;30968888
graphComp;10000;52;cuadra;100;60001;7465040
graphComp;10000;53;cuadra;178;60001;15613864
graphComp;10000;54;cuadra;1460;60025;13001728
graphComp;10000;55;cuadra;2261;60001;26042768
graphComp;10000;56;cuadra;1824;60001;1232496
graphComp;10000;57;cuadra;1346;60001;6732640
graphComp;10000;58;cuadra;280;60001;7777184
graphComp;10000;59;cuadra;228;60001;25182200
graphComp;10000;60;cuadra;2716;60001;34206272
graphComp;10000;61;cuadra;419;60001;5445704
graphComp;10000;62;cuadra;214;60001;85536424
graphComp;10000;63;cuadra;3634;60001;8765560
graphComp;10000;64;cuadra;874;60001;9308232
graphComp;10000;65;cuadra;542;60001;12370848
graphComp;10000;66;cuadra;1023;60001;32998448
graphComp;10000;67;cuadra;1133;60001;30972232
graphComp;10000;68;cuadra;13492;60001;30095208
graphComp;10000;69;cuadra;2447;60001;40495744
graphComp;10000;70;cuadra;174;60326;4102624
graphComp;10000;71;cuadra;170;60001;22740480
graphComp;10000;72;cuadra;0;60307;4310104
graphComp;10000;73;cuadra;17203;60001;89443992
graphComp;10000;74;cuadra;1065;60001;21422512
graphComp;10000;75;cuadra;3;60001;7874648
graphComp;10000;76;cuadra;13;60089;12689816
graphComp;10000;77;cuadra;0;60001;18840072
graphComp;10000;78;cuadra;1195;60001;18002432
graphComp;10000;79;cuadra;321;60001;27620664
graphComp;10000;80;cuadra;181;60001;29121544
graphComp;10000;81;cuadra;7;60001;1130744
graphComp;10000;82;cuadra;6265;60001;43323936
graphComp;10000;83;cuadra;49;60001;11905704
graphComp;10000;84;cuadra;9150;60231;59553560
graphComp;10000;85;cuadra;24;60001;7696872
graphComp;10000;86;cuadra;558;60001;10390192
graphComp;10000;87;cuadra;57;60001;13603056
