Estructura;ID;Grupos;Aristas;Tiempo;Memoria
graphComp;17;triple;17;60001;13090422784
graphComp;18;triple;931;60001;12616466432
graphComp;19;triple;256;60771;13488881664
graphComp;20;triple;97;62182;13182697472
graphComp;21;triple;7267;60003;5788139520
graphComp;22;triple;5;60001;13254000640
graphComp;23;triple;115;60802;13224640512
graphComp;24;triple;176;61023;13220446208
graphComp;25;triple;1972;61250;11572084736
graphComp;26;triple;49955;60001;11819548672
graphComp;27;triple;134;62897;13237223424
graphComp;28;triple;75;61284;13207863296
graphComp;29;triple;6473;60001;13602127872
graphComp;30;triple;0;61150;13241417728
graphComp;31;triple;36;60001;13119782912
graphComp;32;triple;91;61091;13233029120
graphComp;33;triple;2941;60001;13585350656
graphComp;34;triple;25258;60001;4218082656
graphComp;35;triple;159;60001;13321109504
graphComp;36;triple;439737;60001;6614417408
graphComp;37;triple;78;60949;13233029120
graphComp;38;triple;66645;60001;12620660736
graphComp;39;triple;1983;60002;5670699008
graphComp;40;triple;84;60112;13228834816
graphComp;41;triple;47;62200;13220446208
graphComp;42;triple;119;60001;15913189376
graphComp;43;triple;11;60206;13220446208
graphComp;44;triple;9132;60001;4009754624
graphComp;45;triple;159318;60001;2449473536
graphComp;46;triple;2124;61527;7243563008
graphComp;47;triple;171;60001;12889096192
graphComp;48;triple;428;60001;7310671872
graphComp;49;triple;79;60337;10456399872
graphComp;50;triple;80;60006;12884901888
graphComp;51;triple;1188;62033;10036969472
graphComp;52;triple;0;60001;13279166464
graphComp;53;triple;18;60001;11261706240
graphComp;54;triple;216;60001;12830375936
graphComp;55;triple;1702;61180;10225713152
graphComp;56;triple;0;61367;13224640512
graphComp;57;triple;255985;60001;12230590464
graphComp;58;triple;0;62002;13220446208
graphComp;59;triple;35;60001;13123977216
graphComp;60;triple;277;60004;13052674048
graphComp;61;triple;84;62382;13228834816
graphComp;62;triple;4;60001;11593056256
graphComp;63;triple;100;60001;11995709440
graphComp;64;triple;81;60001;12767461376
graphComp;65;triple;1063;60001;9550430208
graphComp;66;triple;1421;60001;13845397504
graphComp;67;triple;81;60708;13224640512
graphComp;68;triple;57;61612;13237223424
graphComp;69;triple;126;61723;13228834816
graphComp;70;triple;89;60001;11655970816
graphComp;71;triple;17;61914;13237223424
graphComp;72;triple;0;62193;13228834816
graphComp;73;triple;246;60009;12046041088
graphComp;74;triple;0;61458;13270777856
graphComp;75;triple;129;60001;17540579328
graphComp;76;triple;9;61395;13270777856
graphComp;77;triple;0;60517;8950644736
graphComp;78;triple;287;60588;13526630400
graphComp;79;triple;0;60001;9726590976
graphComp;80;triple;0;60212;13224640512
graphComp;81;triple;0;60001;13501464576
graphComp;82;triple;585;60001;11467227136
graphComp;83;triple;2;60562;13249806336
graphComp;84;triple;22143;60001;11823742976
graphComp;85;triple;54;60001;11689525248
graphComp;86;triple;3;60001;11211374592
graphComp;87;triple;1348970;60001;2595228672
graphComp;88;triple;5859;60001;13052674048
graphComp;89;triple;55;60495;13220446208
graphComp;90;triple;154;60001;12872318976
graphComp;91;triple;132;62437;13249806336
graphComp;92;triple;3711;60001;2238438528
graphComp;93;triple;1984;60004;4733745664
graphComp;94;triple;48;62094;13233029120
graphComp;95;triple;25;60001;12402556928
graphComp;96;triple;82;60001;13182697472
graphComp;97;triple;87;62603;13224640512
graphComp;98;triple;1817;61027;10745806848
graphComp;99;triple;10;60001;12444499968
graphComp;0;cuadra;2;61517;12876513280
graphComp;1;cuadra;7229;60001;11664359424
graphComp;2;cuadra;192;60001;14625538048
graphComp;3;cuadra;831;60006;10984882176
graphComp;4;cuadra;100;60006;13807648768
graphComp;5;cuadra;23;60001;13384024064
graphComp;6;cuadra;103;60001;13115588608
graphComp;7;cuadra;77;60001;13786677248
graphComp;8;cuadra;10065;60001;13954449408
graphComp;9;cuadra;50;60001;11895046144
graphComp;10;cuadra;18390;60001;12591300608
graphComp;11;cuadra;10415;60001;12897484800
graphComp;12;cuadra;2308;61510;13056868352
graphComp;13;cuadra;4450;60001;13576962048
graphComp;14;cuadra;221;61224;13136560128
graphComp;15;cuadra;1279;60001;13023313920
graphComp;16;cuadra;72;60824;13178503168
graphComp;17;cuadra;141;60870;13186891776
graphComp;18;cuadra;40885;60124;12134121472
graphComp;19;cuadra;202;60018;12876513280
graphComp;20;cuadra;95;62199;13048479744
graphComp;21;cuadra;2036;60001;5674893312
graphComp;22;cuadra;86;60001;13862174720
